id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,fplid,xG90,npxG90,xA90
647,Harry Kane,33,2917,22,21.403087455779318,13,7.4376643877476445,133,47,1,0,F,Tottenham,18,18.358411986380816,24.51636646408588,4.395931362174451,388,0.6603626571889402,0.5664234071903577,0.22947884638234076
1250,Mohamed Salah,35,2905,22,18.643856717273593,4,5.91253299638629,116,51,0,0,F M S,Liverpool,16,14.076843718066812,26.39075800031424,9.364101689308884,254,0.5776065764387688,0.4361156401466482,0.1831765816436372
1228,Bruno Fernandes,36,3027,18,15.755829584784806,11,11.460348032414913,115,94,5,0,M S,Manchester United,9,8.144214750267565,26.184729119762782,11.332602957263589,302,0.4684587587151082,0.24214711844204853,0.3407437472472224
453,Son Heung-Min,35,2959,17,10.920926194638014,10,9.406120045110585,66,72,0,0,F M S,Tottenham,16,10.15975734218955,20.336234558373693,6.407274974510074,390,0.33216740706908454,0.30901593808619787,0.2860935464886626
5555,Dominic Calvert-Lewin,31,2698,16,17.946848709136244,0,1.9790722467005253,79,17,3,0,F S,Everton,16,17.946848709136244,19.36539177596569,4.122372105717658,164,0.5986717508607347,0.5986717508607347,0.06601797709527327
822,Patrick Bamford,36,2952,15,16.615652490407232,7,3.64446753449738,101,28,3,0,F,Leeds,14,15.854483664035795,21.991846166551113,3.864322504028678,202,0.5065747710490011,0.48336840439133527,0.11111181507613964
755,Jamie Vardy,32,2668,13,18.19251895323396,9,5.087881522253157,77,28,1,0,F S,Leicester,7,12.864337112754585,18.09615268558264,2.3947854638099666,224,0.6136906693369777,0.4339544003552896,0.17163018628290258
3277,Alexandre Lacazette,30,1928,13,12.028909418731928,2,2.2092131152749057,45,22,3,0,F M S,Arsenal,10,9.745402876287699,14.361542394384742,2.9379407837986946,6,0.5615154811648722,0.4549202587478698,0.10312716824416054
8865,Ollie Watkins,35,3150,13,15.409244947135448,5,5.207469287328422,92,43,2,1,F,Aston Villa,12,13.886907316744328,20.783157639205452,5.069302873685956,514,0.4402641413467271,0.39676878047840936,0.14878483678081206
314,Ilkay Gündogan,27,1972,12,9.01628112141043,2,3.696230811998248,53,41,1,0,M S,Manchester City,11,7.49394338671118,18.55481901019812,10.086972810328009,271,0.41149356030777823,0.34201567180730535,0.16869207559829733
468,Callum Wilson,26,2079,12,13.59009125083685,5,3.0463006310164933,49,17,2,0,F S,Newcastle United,8,10.545415870845318,14.205592930316925,1.0525451973080635,506,0.5883156385643658,0.4565115095604033,0.1318744861911902
986,Danny Ings,27,2072,12,8.028692942112682,4,2.3112305803224444,53,22,1,0,F S,Southampton,10,6.506355218589307,9.765622029080989,1.9795464240014555,366,0.34873666254350455,0.28261195447540427,0.10039128968582046
4456,Chris Wood,31,2585,12,12.50382512807846,3,1.9581525810062883,66,21,0,0,F S,Burnley,10,10.981487393379213,13.0934393145144,2.130159322172404,91,0.43533627138377623,0.38233418390875407,0.06817552506404873
522,Wilfried Zaha,28,2435,11,8.550931073725224,2,3.5766294579952955,57,28,6,0,F M S,Crystal Palace,9,7.02859341353178,13.157251827418804,3.479405028745532,141,0.31605084050729776,0.25978374013053807,0.13219574998750577
556,Marcus Rashford,36,2914,11,9.579709991812708,9,4.185122115537524,79,44,4,0,F M S,Manchester United,11,9.579709991812708,20.441910162568085,8.927207557484508,306,0.29587299219737256,0.29587299219737256,0.12925909073382882
620,Kelechi Iheanacho,23,1334,11,8.638898958452046,2,3.497371606528759,54,26,1,0,F S,Leicester,11,7.877730120904744,13.401186440140009,3.285453259944916,233,0.582834262564231,0.5314810426397503,0.23595460613762242
318,Pierre-Emerick Aubameyang,27,2164,10,9.657305888831617,3,2.3524065418168902,53,19,2,0,F M S,Arsenal,8,8.134968228638174,14.242215191945435,3.9551293188706036,4,0.40164396025639815,0.33833047161619023,0.09783576190550837
